id,gen,varsta,educatie,regiune,mediu,salariu_lunar_net_lei,promovat
351,F,51,Liceu,Bucuresti-Ilfov,Rural,4295.0,Nu
352,F,53,Postliceal,Centru,Rural,4040.0,Da
353,F,31,Profesional,Nord-Est,Urban,3202.0,Nu
354,F,49,Profesional,Nord-Vest,Urban,4332.0,Nu
355,M,54,Gimnaziu,Bucuresti-Ilfov,Rural,5093.0,Nu
356,M,35,Gimnaziu,Centru,Rural,3502.0,Da
357,F,31,Masterat,Bucuresti-Ilfov,Rural,6514.0,Nu
358,M,25,Liceu,Vest,Urban,4935.0,Da
359,F,51,Liceu,Centru,Urban,4457.0,Nu
360,M,43,Masterat,Bucuresti-Ilfov,Urban,7526.0,Da
361,F,26,Gimnaziu,Nord-Est,Rural,2524.0,Da
362,F,33,Facultate,Vest,Rural,3813.0,Nu
363,F,35,Liceu,Vest,Urban,3241.0,Nu
364,F,47,Masterat,Nord-Est,Urban,5930.0,Nu
365,F,48,Primar,Vest,Urban,4502.0,Nu
366,F,30,Liceu,Vest,Urban,4238.0,Da
367,F,40,Liceu,Nord-Vest,Urban,4366.0,Da
368,F,55,Facultate,Sud-Est,Urban,5752.0,Da
369,F,34,Profesional,Centru,Rural,3844.0,Nu
370,M,32,Profesional,Sud-Muntenia,Rural,2959.0,Da
371,M,57,Postliceal,Bucuresti-Ilfov,Rural,5735.0,Da
372,M,28,Facultate,Bucuresti-Ilfov,Urban,7186.0,Da
373,F,31,Profesional,Nord-Est,Urban,3504.0,Da
374,M,37,Liceu,Vest,Urban,,Da
375,F,37,Primar,Centru,Rural,3119.0,Nu
376,M,52,Masterat,Vest,Urban,8447.0,Da
377,F,42,Postliceal,Sud-Est,Urban,3910.0,Nu
378,M,46,Facultate,Centru,Rural,6441.0,Nu
379,F,18,,Bucuresti-Ilfov,Rural,4235.0,Da
380,F,58,Liceu,Nord-Est,Urban,3503.0,Nu
381,F,27,Gimnaziu,Sud-Est,Urban,2586.0,Nu
382,M,36,Facultate,Sud-Est,Urban,6272.0,Da
383,M,44,Facultate,Sud-Est,Rural,4945.0,Da
384,M,39,Postliceal,Centru,Rural,3532.0,Nu
385,F,22,Doctorat,Nord-Vest,Urban,7061.0,Da
386,F,38,Primar,Sud-Muntenia,Rural,2312.0,Nu
387,F,34,Profesional,Nord-Vest,Urban,3260.0,Nu
388,M,48,Masterat,Sud-Est,Rural,5675.0,Da
389,M,53,Postliceal,Nord-Est,Urban,4938.0,Nu
390,M,51,Primar,Nord-Est,Rural,2843.0,Nu
391,M,42,Liceu,Bucuresti-Ilfov,Urban,5454.0,Nu
392,M,64,Facultate,Centru,Urban,5550.0,Nu
393,F,38,Postliceal,Nord-Vest,Urban,5544.0,Nu
394,M,28,Liceu,Sud-Est,Rural,2358.0,Nu
395,M,60,Liceu,Centru,Rural,3001.0,Da
396,F,58,Liceu,Bucuresti-Ilfov,Rural,4689.0,Nu
397,F,54,Facultate,Sud-Muntenia,Urban,5193.0,Nu
398,F,30,Facultate,Sud-Est,Urban,5280.0,Da
399,M,55,Liceu,Centru,Rural,4301.0,Nu
400,M,40,Gimnaziu,Nord-Est,Rural,2569.0,Nu
401,M,48,Liceu,Sud-Est,Rural,2859.0,Nu
402,M,30,Masterat,Sud-Est,Urban,6560.0,Da
403,M,47,Liceu,Vest,Urban,5494.0,Da
404,M,39,Profesional,Centru,Rural,3742.0,Da
405,M,36,Masterat,Sud-Vest Oltenia,Urban,7486.0,Nu
406,F,59,Liceu,Sud-Muntenia,Urban,,Da
407,F,24,Facultate,Nord-Est,Rural,3533.0,Nu
408,F,18,Profesional,Centru,Urban,3940.0,Nu
409,F,48,Liceu,Sud-Est,Urban,3930.0,Da
410,M,51,Facultate,Sud-Vest Oltenia,Urban,6503.0,Da
411,M,43,Primar,Bucuresti-Ilfov,Rural,4414.0,Nu
412,M,42,Facultate,Vest,Urban,6522.0,Nu
413,F,42,Primar,Nord-Vest,Rural,2200.0,Nu
414,M,67,Gimnaziu,Sud-Vest Oltenia,Urban,3479.0,Nu
415,M,51,Liceu,Vest,Urban,4785.0,Da
416,M,38,Liceu,Bucuresti-Ilfov,Urban,,Da
417,F,35,Facultate,Sud-Est,Urban,5746.0,Nu
418,M,49,Primar,Sud-Muntenia,Urban,4530.0,Nu
419,M,36,Profesional,Bucuresti-Ilfov,Urban,5200.0,Nu
420,F,40,Gimnaziu,Bucuresti-Ilfov,Rural,4408.0,Da
421,F,40,Liceu,Sud-Muntenia,Rural,2779.0,Nu
422,F,57,Liceu,Sud-Muntenia,Rural,3912.0,Nu
423,M,43,Gimnaziu,Nord-Vest,Urban,5410.0,Nu
424,M,25,Profesional,Sud-Est,Rural,2252.0,Nu
425,F,60,Masterat,Nord-Est,Urban,5663.0,Nu
426,F,31,Facultate,Nord-Est,Urban,3899.0,Nu
427,F,46,Masterat,Nord-Est,Urban,5643.0,Da
428,F,55,Facultate,Centru,Rural,4811.0,Nu
429,F,39,Gimnaziu,Nord-Vest,Rural,2991.0,Da
430,F,44,Liceu,Sud-Vest Oltenia,Urban,5072.0,Da
431,M,63,Gimnaziu,Vest,Urban,4316.0,Da
432,M,24,Liceu,Nord-Vest,Urban,4079.0,Nu
433,F,43,Facultate,Vest,Urban,6367.0,Nu
434,F,62,Liceu,Sud-Muntenia,Rural,4202.0,Nu
435,M,47,Liceu,Vest,Urban,5116.0,Da
